site,start,n_steps,lr,init,langevin_noise,blur_schedule_fwhm_steps,reset_optimizer_at_blur_transition,final_loss,best_loss,final_rmsd_to_A,final_rmsd_to_B,best_rmsd_to_B,first_step_below_0_50,final_chi_radians
A_ARG129,38,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.3393030684483165e-08,5.705715899750885e-09,1.3430677652359009,3.572765126591548e-05,2.1977411961415783e-05,2,-1.1861765;-0.20299697;-2.20297;-0.2347931
A_ARG129,39,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,6.659561790911539e-08,2.2686843514918564e-09,1.343064785003662,7.018876203801483e-05,1.341858023806708e-05,7,-1.1861366;-0.20299429;-2.2029436;-0.23482597
A_ARG129,40,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.1497995853424072,0.0007200855761766434,1.121457815170288,0.7740979194641113,0.30528587102890015,14,-1.0887084;-0.93568659;0.17829981;0.67310882
A_ARG129,41,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,2.593373835679813e-07,5.190944563082667e-09,1.3430750370025635,0.00013072135334368795,2.186974961659871e-05,39,-1.1861281;-0.20297021;-2.2029331;-0.23485242
A_ARG129,42,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,5.162503313727029e-09,5.162503313727029e-09,1.3430899381637573,1.8971317331306636e-05,1.8971317331306636e-05,27,-1.1861513;-0.20301434;-2.2029765;-0.23481393
A_ARG129,43,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,3.198734361831157e-07,9.627630248587593e-09,1.3430628776550293,0.00014773763541597873,2.5282864953624085e-05,23,-1.186134;-0.2029708;-2.2029035;-0.23485379
A_ARG129,44,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.240601079643966e-07,4.7649422185713775e-09,1.3430570363998413,9.520073217572644e-05,2.207695069955662e-05,20,-1.1861501;-0.20297678;-2.2029378;-0.23483004
A_ARG129,45,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,2.2462179671833837e-08,7.917797084644462e-09,1.3430694341659546,4.362113759270869e-05,2.512455830583349e-05,38,-1.1861649;-0.20299326;-2.2029598;-0.23480517
A_ARG129,46,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,9.273883705418484e-08,3.637730117134197e-10,1.343058705329895,8.517429523635656e-05,6.157699772302294e-06,47,-1.1861629;-0.20298307;-2.2029366;-0.23481989
A_ARG129,47,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,1.815851788933287e-07,2.001599952450306e-08,1.3430521488189697,0.00011641162564046681,3.898278373526409e-05,4,-1.1861235;-0.20297705;-2.2029426;-0.23485091
A_ARG129,48,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,2.7375602229540164e-08,2.7375602229540164e-08,1.3431179523468018,4.947981142322533e-05,4.947981142322533e-05,88,-1.1862109;-0.20306785;-2.2028565;-0.23484479
A_ARG129,49,300,1.0,random,0.0,4:100:lr1;2:100:lr0.1;0:100:lr0.01,True,2.252566702054537e-07,3.5719168067771534e-08,1.3430895805358887,0.00012192231952212751,5.648841033689678e-05,85,-1.1861397;-0.20297472;-2.2029471;-0.23488329
