site,start,n_steps,lr,init,langevin_noise,final_loss,best_loss,final_rmsd_to_A,final_rmsd_to_B,best_rmsd_to_B,first_step_below_0_50,final_chi_radians
A_ARG129,0,200,1.0,random,0.0,2.5308361053466797,2.5308306217193604,3.2692410945892334,3.333897352218628,1.2132081985473633,,-1.1911681;2.923645;-1.5630226;-0.62240118
A_ARG129,1,200,1.0,random,0.0,3.063284397125244,3.063281536102295,3.7436020374298096,3.495958089828491,2.773735523223877,,2.6138401;-3.053669;-1.7012806;0.35653007
A_ARG129,2,200,1.0,random,0.0,3.0632824897766113,2.7977700233459473,3.753850221633911,3.566812038421631,1.981945514678955,,2.6139205;-3.0538156;-1.6955252;-0.14306812
A_ARG129,3,200,1.0,random,0.0,2.5308117866516113,2.530808687210083,3.270505428314209,3.3668107986450195,1.1846258640289307,,-1.1911783;2.923625;-1.562029;-0.36219814
A_ARG129,4,200,1.0,random,0.0,2.530813217163086,2.5308051109313965,3.2567334175109863,3.383573055267334,2.7687597274780273,,-1.1911714;2.9236522;-1.5615669;-0.076074839
A_ARG129,5,200,1.0,random,0.0,2.5308079719543457,2.5308024883270264,3.2574715614318848,3.3833587169647217,2.5190541744232178,,-1.1911914;2.9236951;-1.561669;-0.085996941
A_ARG129,6,200,1.0,random,0.0,2.5308585166931152,2.5308585166931152,3.260328769683838,3.3010082244873047,1.0712615251541138,,-1.1912357;2.9236853;-1.5640241;-0.80860126
A_ARG129,7,200,1.0,random,0.0,3.0803604125976562,3.070645570755005,3.5622355937957764,3.5480618476867676,2.7063026428222656,,-2.8159437;2.9408286;-0.84992492;0.61099666
A_ARG129,8,200,1.0,random,0.0,3.085376739501953,3.03469181060791,3.72194766998291,3.2925283908843994,1.5970019102096558,,2.0545683;3.0862281;1.1683511;-0.62420064
A_ARG129,9,200,1.0,random,0.0,2.530837059020996,2.530832290649414,3.2048752307891846,3.3660900592803955,1.0546921491622925,,-1.1911839;2.9236684;-1.5604491;0.37936941
A_ARG129,10,200,1.0,random,0.0,2.5308096408843994,2.5308046340942383,3.252631187438965,3.38431978225708,1.954126000404358,,-1.1911582;2.9236715;-1.5615098;-0.024712492
A_ARG129,11,200,1.0,random,0.0,0.11942051351070404,0.004328479059040546,1.3513402938842773,0.08929134905338287,0.01961694471538067,8,-1.1989994;-0.22507471;-2.2494452;-0.20380343
A_ARG129,12,200,1.0,random,0.0,3.063286542892456,2.5952441692352295,3.478558301925659,3.393373489379883,1.7707126140594482,,2.6139381;-3.0536664;-1.7039404;-1.4570222
A_ARG129,13,200,1.0,random,0.0,2.5308382511138916,2.5308375358581543,3.198700428009033,3.361915349960327,2.368497371673584,,-1.191192;2.9236979;-1.5602231;0.42018929
A_ARG129,14,200,1.0,random,0.0,2.5308218002319336,2.530817985534668,3.2715344429016113,3.3526525497436523,1.4234261512756348,,-1.1911705;2.9237101;-1.5627085;-0.49016657
A_ARG129,15,200,1.0,random,0.0,2.5308165550231934,2.5308141708374023,3.271540641784668,3.3579671382904053,1.9946144819259644,,-1.1911619;2.9236362;-1.5622355;-0.44595826
A_ARG129,16,200,1.0,random,0.0,2.5308074951171875,2.5308027267456055,3.2655322551727295,3.3778836727142334,2.5494773387908936,,-1.1911947;2.9236701;-1.5619793;-0.21861677
A_ARG129,17,200,1.0,random,0.0,2.530823230743408,2.53082275390625,3.2711949348449707,3.347217559814453,1.4327136278152466,,-1.191196;2.9235775;-1.5624391;-0.5313828
A_ARG129,18,200,1.0,random,0.0,3.062889575958252,2.9112091064453125,3.5192556381225586,3.110522508621216,2.41728138923645,,2.6135952;-3.0554447;2.0858891;-1.6795553
A_ARG129,19,200,1.0,random,0.0,2.530815362930298,2.530806541442871,3.2475366592407227,3.384341239929199,1.5961474180221558,,-1.1911693;2.9237025;-1.561438;0.032239493
A_ARG129,20,200,1.0,random,0.0,2.530808448791504,2.5308027267456055,3.264411449432373,3.3791112899780273,1.7041627168655396,,-1.1911852;2.9237163;-1.5619808;-0.19648254
A_ARG129,21,200,1.0,random,0.0,2.5308384895324707,2.5308351516723633,3.2667720317840576,3.3227651119232178,1.1134659051895142,,-1.1912019;2.9237268;-1.563311;-0.69009799
A_ARG129,22,200,1.0,random,0.0,3.062886953353882,2.7485766410827637,3.67693829536438,3.285668134689331,0.9834521412849426,,2.6138794;-3.0550964;2.1736214;-1.1916987
A_ARG129,23,200,1.0,random,0.0,2.530815839767456,2.296647071838379,3.2278332710266113,3.378803014755249,0.6057453155517578,,-1.1911935;2.9235346;-1.5608177;0.21190555
A_ARG129,24,200,1.0,random,0.0,2.5308096408843994,2.530806064605713,3.251641273498535,3.384399652481079,1.7237616777420044,,-1.1911657;2.9237075;-1.5616091;-0.013173882
A_ARG129,25,200,1.0,random,0.0,2.5308165550231934,2.5308151245117188,3.233289957046509,3.3809714317321777,2.125831127166748,,-1.1911891;2.9237106;-1.5610303;0.1668956
A_ARG129,26,200,1.0,random,0.0,0.2309071272611618,0.0028728279285132885,1.3307486772537231,0.1267671436071396,0.01442603301256895,6,-1.1399928;-0.15619349;-2.1793876;-0.26546019
A_ARG129,27,200,1.0,random,0.0,0.07567191123962402,5.584010978054721e-06,1.3473061323165894,0.07025833427906036,0.0006597102037630975,10,-1.1976684;-0.21842438;-2.2458148;-0.21650484
A_ARG129,28,200,1.0,random,0.0,0.09853416681289673,0.0025395462289452553,1.3359348773956299,0.08178451657295227,0.014395239762961864,50,-1.1511108;-0.17165904;-2.1980245;-0.26043743
A_ARG129,29,200,1.0,random,0.0,2.5308074951171875,2.530803680419922,3.261108875274658,3.381706476211548,2.4866342544555664,,-1.1911714;2.9237049;-1.5618069;-0.13931592
A_ARG129,30,200,1.0,random,0.0,2.5308213233947754,2.5308170318603516,3.271527051925659,3.3527259826660156,2.2504067420959473,,-1.1911912;2.9237025;-1.5626892;-0.48956254
A_ARG129,31,200,1.0,random,0.0,2.5308125019073486,2.5308074951171875,3.269089698791504,3.3716280460357666,1.7971267700195312,,-1.1912057;2.9237525;-1.5622857;-0.30794188
A_ARG129,32,200,1.0,random,0.0,2.530808925628662,2.5308055877685547,3.2483224868774414,3.3843984603881836,2.4355766773223877,,-1.191196;2.9237633;-1.5615302;0.024082111
A_ARG129,33,200,1.0,random,0.0,0.3824112117290497,0.0006512511754408479,1.3644540309906006,0.16560666263103485,0.007237298414111137,24,-1.2252698;-0.258333;-2.2544661;-0.18696126
A_ARG129,34,200,1.0,random,0.0,3.0628864765167236,2.607964515686035,3.737083911895752,3.5176379680633545,1.653111219406128,,2.6136827;-3.0558987;2.042171;0.061520223
A_ARG129,35,200,1.0,random,0.0,2.5308117866516113,2.5308046340942383,3.2624027729034424,3.380838632583618,2.599499225616455,,-1.1911813;2.9237134;-1.5617328;-0.16027771
A_ARG129,36,200,1.0,random,0.0,2.5308401584625244,2.5308353900909424,3.267007827758789,3.3237311840057373,1.609133243560791,,-1.1911641;2.9236643;-1.5632395;-0.6844542
A_ARG129,37,200,1.0,random,0.0,3.063284397125244,1.9511559009552002,3.597473621368408,3.50775146484375,0.5654119253158569,,2.6146107;-3.0556245;-1.6576506;-1.0294862
A_ARG129,38,200,1.0,random,0.0,2.530815601348877,2.5308103561401367,3.2390084266662598,3.3828141689300537,1.0725423097610474,,-1.1911442;2.9237912;-1.5614928;0.11594939
A_ARG129,39,200,1.0,random,0.0,3.0630292892456055,1.0855026245117188,3.3356704711914062,3.15153169631958,0.35637858510017395,10,2.6150184;-3.0632849;1.4225979;-1.8023289
A_ARG129,40,200,1.0,random,0.0,2.530824661254883,2.5308191776275635,3.224494218826294,3.3772666454315186,1.8390604257583618,,-1.19121;2.9236758;-1.5608526;0.23845051
A_ARG129,41,200,1.0,random,0.0,2.773505687713623,2.7734851837158203,1.5155320167541504,2.323143482208252,1.7499061822891235,,-1.1407629;0.0025416622;0.89892012;2.8135853
A_ARG129,42,200,1.0,random,0.0,2.5308451652526855,2.530844211578369,3.264617919921875,3.3147664070129395,1.0562834739685059,,-1.1912105;2.9237709;-1.5636642;-0.73548365
A_ARG129,43,200,1.0,random,0.0,2.5308122634887695,2.5308032035827637,3.2658703327178955,3.3774492740631104,1.6985909938812256,,-1.1911865;2.9236875;-1.5618786;-0.22560073
A_ARG129,44,200,1.0,random,0.0,2.5308265686035156,2.530824661254883,3.2162601947784424,3.372978687286377,1.0899282693862915,,-1.1911638;2.9236262;-1.5605488;0.30022004
A_ARG129,45,200,1.0,random,0.0,2.5308122634887695,2.5308046340942383,3.2609856128692627,3.381762981414795,2.500450372695923,,-1.1911458;2.9236214;-1.5618383;-0.1379485
A_ARG129,46,200,1.0,random,0.0,3.062886953353882,3.0628864765167236,3.5306174755096436,3.116154670715332,1.0962731838226318,,2.6136642;-3.055294;2.1123538;-1.6595855
A_ARG129,47,200,1.0,random,0.0,2.5308151245117188,2.5308122634887695,3.2714807987213135,3.3591079711914062,1.9743824005126953,,-1.1911566;2.9236648;-1.5623525;-0.43610358
A_ARG129,48,200,1.0,random,0.0,3.0632824897766113,3.0632810592651367,3.75688099861145,3.5620672702789307,1.8033366203308105,,2.6139383;-3.0536723;-1.7007483;-0.088184163
A_ARG129,49,200,1.0,random,0.0,2.5308122634887695,2.5308070182800293,3.248525381088257,3.3844025135040283,2.86173415184021,,-1.1911752;2.9236677;-1.5614303;0.021674966
